SATKER;TGL_DIFF;UP;PAGU;REALISASI;PAGU52;REAL52;PAGU53;REAL53;REALGUP
665311;27;300000000;58075013000;34048655666;14820883000;7785106965;916164000;266611242;291850000
406401;3;72000000;14625943000;7841315448;10753395000;5423057405;0;0;50610773
428270;12;30000000;7333696000;4812068317;3924619000;2628025022;0;0;16990663
680310;21;10000000;1638353000;814911387;398764000;193930500;32500000;31650000;7263500
526750;30;60000000;7798216000;4420463998;1453061000;785557566;158500000;157950000;42604950
119132;15;102000000;10388165000;5017836635;10388165000;5017836635;0;0;75874000
680310;18;10000000;1638353000;814911387;398764000;193930500;32500000;31650000;8230500
413293;21;180000000;44302886000;21749905012;23607300000;10390626997;2591141000;1194936200;139490292
666507;30;6000000;626405000;295091047;220690000;95001578;0;0;4367950
111804;8;30000000;3319375000;1668972650;892655000;259447840;0;0;26095105
641504;25;45000000;27392137000;15915851914;6399705000;2814168680;0;0;45000000
553807;26;15000000;4359937000;2307176184;771904000;353050000;61310000;21310000;10000000
420033;42;7900000;848340000;452353562;300034000;127374000;21950000;11300000;7900000
418400;26;30000000;2040082000;1185909364;846098000;511255037;32000000;31975000;26153637
402274;13;10000000;184374000;113548000;184374000;113548000;0;0;7500000
403410;18;2400000;92600000;53000000;92600000;53000000;0;0;2400000
553125;20;30000000;4662277000;2564222928;925706000;428175939;109150000;109102000;29320000
7233;33;36000000;5334731000;3414744914;1478445000;578813159;7000000;7000000;34761688
637550;10;30000000;4830164000;2221775590;3153094000;1222599058;18722000;17220000;19899369
7102;28;180000000;81935746000;41847289720;9377189000;2697363698;42000000;34900000;159549397
426066;28;50000000;6482547000;3515904115;1626912000;647500500;250000000;209950000;43544500
431127;29;100000000;14423694000;3191369149;12849198000;2362248919;50785000;0;66317973
402251;2;27000000;3506544000;2529231912;1122784000;813946631;10000000;9900000;24646000
622372;9;150000000;16209129000;8260051862;7439281000;3977119627;1600000000;450167554;147906784
431170;29;20000000;8645755000;3633240122;5434022000;2412467810;1550785000;370150942;17285285
111910;14;15000000;5192721000;2627745590;3279949000;1714141760;1044893000;387202019;14998867
352427;23;32000000;7000000000;31824557;7000000000;31824557;0;0;31824557
418402;28;42000000;27127625000;15569245202;1003432000;451185472;83900000;78790000;21706130
418508;18;36000000;9517075000;4932123426;2402640000;946785344;0;0;36000000
424214;24;60000000;9236035000;6024099966;1332846000;681321500;193000000;120643000;59120000
418897;14;7500000;1640194000;1211527755;789404000;532367000;32000000;31850000;7500000
670561;17;15000000;4815085000;1841574365;3638553000;1153393700;50785000;0;14646613
561541;24;90000000;10661579000;5486002291;3159928000;1336018942;351462000;0;85291443
682914;9;60000000;1870653000;989775156;1870653000;989775156;0;0;42653366
641571;1;33000000;98712647000;36255128982;62870634000;25915364574;30227700000;7155747775;32161000
7151;10;60000000;9878070000;6352540303;2424734000;1765731509;7000000;7000000;59961340
427454;14;60000000;11504211000;3983356598;2222820000;1020901225;90000000;0;32599750
418352;14;90000000;13262274000;7114572221;5527812000;2152470532;1215041000;148432000;55073268
406457;14;36000000;15243806000;9230095089;11168219000;6598239134;0;0;36000000
119028;17;60000000;1440000000;647901100;1440000000;647901100;0;0;60000000
7165;21;48000000;7242482000;4108090637;1592668000;580927608;7000000;0;43565000
561541;5;90000000;10661579000;5486002291;3159928000;1336018942;351462000;0;89517670
411702;5;60000000;5169044000;2821587584;5169044000;2821587584;0;0;49340250
350170;6;20000000;1663978000;1321713900;1663978000;1321713900;0;0;18050000
119037;6;17000000;954102000;357655501;954102000;357655501;0;0;16920000
403408;7;7800000;135500000;61949996;135500000;61949996;0;0;7800000
662127;29;50000000;2734647000;1489362492;978242000;485752310;125000000;125000000;33546200
418375;29;6000000;1040950000;588257873;229940000;100610926;0;0;5443020
681510;31;3000000;448948000;139588723;158530000;76610000;0;0;3000000
237788;3;90000000;15079783000;8835880280;8091986000;4322898007;761120000;653108000;81516201
418509;4;33000000;33956654000;16770924415;2369362000;1243813000;258650000;248155000;33000000
418456;8;10000000;2257030000;1303109450;794587000;436132669;32000000;29453850;9669319
426029;41;10300000;1197897000;696248994;274320000;134586000;0;0;10142000
418507;11;7000000;2163892000;1219435442;813776000;462143938;32000000;31925000;6995339
98942;14;42000000;18877945000;11957244758;2803926000;1571109751;443000000;391654000;41989256
98991;7;30000000;5619549000;3153508449;1339370000;879118164;181500000;181325000;29631754
406381;7;48000000;14388787000;7831208095;9097740000;4439650999;0;0;47762500
406402;7;30000000;9523262000;5786865308;5442466000;3193107308;0;0;29483400
641677;2;300000000;75086458000;39912737130;18916054000;9561809119;776608000;481273891;296212989
7186;2;18000000;8383238000;4567583772;1627948000;810480852;7000000;0;18000000
664565;7;60000000;7075597000;3951218144;4840879000;2517622000;291000000;284225050;37045000
7208;22;100000000;5031143000;3182672019;1704995000;879078148;7000000;0;80000000
437106;8;48000000;10114818000;3821261896;1901010000;937396918;4206393000;421212900;46361040
